Scan,Time,Temperature[°C],Condutivity[mS/cm],Salinity[PSU],Density[kg/m3],Sound Speed[m/s],Conductance[S]
1,2018-06-15 13:25:54.635391,20.23405,52.05289,38.19752,1027.186,1525.887,38.19752
1,2018-06-15 13:38:25.792069,20.2984,52.06686,38.1507,1027.132,1526.01,38.1507
2,2018-06-15 13:38:32.264963,20.30162,52.06813,38.14885,1027.13,1526.017,38.14885
3,2018-06-15 13:38:33.288907,20.30001,52.06686,38.14925,1027.131,1526.013,38.14925
4,2018-06-15 13:38:34.312894,20.30001,52.06814,38.15031,1027.132,1526.014,38.15031
5,2018-06-15 13:38:35.336768,20.29679,52.06814,38.15321,1027.135,1526.008,38.15321
6,2018-06-15 13:38:36.361827,20.30162,52.06813,38.14885,1027.13,1526.017,38.14885
7,2018-06-15 13:38:37.386769,20.30483,52.06813,38.14594,1027.127,1526.022,38.14594
8,2018-06-15 13:38:38.411718,20.30162,52.06686,38.1478,1027.129,1526.016,38.1478
9,2018-06-15 13:38:39.436682,20.30162,52.06813,38.14885,1027.13,1526.017,38.14885
10,2018-06-15 13:38:40.463718,20.30645,52.06813,38.14447,1027.125,1526.025,38.14447
11,2018-06-15 13:38:41.476613,20.29518,52.06686,38.15363,1027.135,1526.005,38.15363
12,2018-06-15 13:38:42.501587,20.2984,52.06814,38.15176,1027.133,1526.011,38.15176
13,2018-06-15 13:38:43.525570,20.30483,52.06813,38.14594,1027.127,1526.022,38.14594
14,2018-06-15 13:38:44.551617,20.30966,52.06813,38.14155,1027.123,1526.03,38.14155
15,2018-06-15 13:38:45.576691,20.2984,52.06814,38.15176,1027.133,1526.011,38.15176
16,2018-06-15 13:38:46.600607,20.30645,52.06813,38.14447,1027.125,1526.025,38.14447
17,2018-06-15 13:38:47.624600,20.30966,52.06813,38.14155,1027.123,1526.03,38.14155
18,2018-06-15 13:38:48.648429,20.31127,52.06813,38.14009,1027.121,1526.033,38.14009
19,2018-06-15 13:38:49.674430,20.31127,52.06813,38.14009,1027.121,1526.033,38.14009
20,2018-06-15 13:38:50.698500,20.30805,52.06813,38.14301,1027.124,1526.028,38.14301
21,2018-06-15 13:38:51.724406,20.30323,52.06813,38.14738,1027.129,1526.019,38.14738
22,2018-06-15 13:38:52.752407,20.31127,52.06813,38.14009,1027.121,1526.033,38.14009
23,2018-06-15 13:38:53.776432,20.30966,52.06813,38.14155,1027.123,1526.03,38.14155
24,2018-06-15 13:38:54.802337,20.31127,52.06813,38.14009,1027.121,1526.033,38.14009
25,2018-06-15 13:38:55.826328,20.31609,52.06812,38.13572,1027.116,1526.041,38.13572
26,2018-06-15 13:38:56.851278,20.30323,52.06813,38.14738,1027.129,1526.019,38.14738
27,2018-06-15 13:38:57.876286,20.31609,52.06939,38.13678,1027.117,1526.043,38.13678
28,2018-06-15 13:38:58.901289,20.30966,52.0694,38.14261,1027.123,1526.032,38.14261
29,2018-06-15 13:38:59.928214,20.3177,52.06939,38.13532,1027.115,1526.045,38.13532
30,2018-06-15 13:39:00.953161,20.31931,52.06939,38.13387,1027.114,1526.048,38.13387
31,2018-06-15 13:39:01.977119,20.3177,52.07067,38.13637,1027.116,1526.046,38.13637
32,2018-06-15 13:39:03.002067,20.32413,52.06939,38.12951,1027.109,1526.056,38.12951
33,2018-06-15 13:39:04.027094,20.31609,52.06939,38.13678,1027.117,1526.043,38.13678
34,2018-06-15 13:39:05.053048,20.31288,52.07067,38.14074,1027.121,1526.038,38.14074
35,2018-06-15 13:39:06.077105,20.32092,52.06939,38.13241,1027.112,1526.051,38.13241
36,2018-06-15 13:39:07.101989,20.32092,52.07067,38.13346,1027.113,1526.052,38.13346
37,2018-06-15 13:39:08.128922,20.32896,52.07067,38.12618,1027.105,1526.066,38.12618
38,2018-06-15 13:39:09.154959,20.32896,52.07067,38.12618,1027.105,1526.066,38.12618
39,2018-06-15 13:39:10.179021,20.32092,52.07194,38.1345,1027.114,1526.053,38.1345
40,2018-06-15 13:39:11.191937,20.33218,52.07066,38.12326,1027.102,1526.071,38.12326
41,2018-06-15 13:39:12.229872,20.33057,52.07194,38.12577,1027.105,1526.07,38.12577
42,2018-06-15 13:39:13.256776,20.3354,52.07193,38.12139,1027.1,1526.078,38.12139
43,2018-06-15 13:39:14.279888,20.32574,52.07194,38.13014,1027.109,1526.061,38.13014
44,2018-06-15 13:39:15.306797,20.32896,52.07194,38.12724,1027.106,1526.067,38.12724
45,2018-06-15 13:39:16.318753,20.32574,52.07321,38.13119,1027.11,1526.063,38.13119
46,2018-06-15 13:39:17.342763,20.32735,52.07321,38.12974,1027.109,1526.065,38.12974
47,2018-06-15 13:39:18.373734,20.33379,52.07193,38.12285,1027.102,1526.075,38.12285
48,2018-06-15 13:39:19.402793,20.32896,52.07321,38.12828,1027.107,1526.068,38.12828
49,2018-06-15 13:39:20.427707,20.32735,52.07321,38.12974,1027.109,1526.065,38.12974
50,2018-06-15 13:39:21.452792,20.34184,52.0732,38.11663,1027.095,1526.09,38.11663
51,2018-06-15 13:39:22.474755,20.33701,52.0732,38.12099,1027.099,1526.082,38.12099
52,2018-06-15 13:39:23.492619,20.34022,52.0732,38.11809,1027.096,1526.087,38.11809
53,2018-06-15 13:39:24.517501,20.33701,52.07447,38.12205,1027.1,1526.083,38.12205
54,2018-06-15 13:39:25.543546,20.34666,52.0732,38.11226,1027.09,1526.098,38.11226
55,2018-06-15 13:39:26.569562,20.34184,52.07447,38.11768,1027.096,1526.091,38.11768
56,2018-06-15 13:39:27.594437,20.34505,52.07447,38.11477,1027.092,1526.097,38.11477
57,2018-06-15 13:39:28.618533,20.34344,52.0732,38.11517,1027.093,1526.093,38.11517
58,2018-06-15 13:39:29.643361,20.34505,52.07447,38.11477,1027.092,1526.097,38.11477
59,2018-06-15 13:39:30.669404,20.34505,52.07447,38.11477,1027.092,1526.097,38.11477
60,2018-06-15 13:39:31.694288,20.35309,52.07447,38.10751,1027.085,1526.11,38.10751
61,2018-06-15 13:39:32.719368,20.34344,52.07447,38.11622,1027.094,1526.094,38.11622
62,2018-06-15 13:39:33.744290,20.34827,52.07574,38.1129,1027.09,1526.103,38.1129
63,2018-06-15 13:39:34.769360,20.34827,52.07574,38.1129,1027.09,1526.103,38.1129
64,2018-06-15 13:39:35.794346,20.35792,52.07574,38.10417,1027.081,1526.12,38.10417
65,2018-06-15 13:39:36.818239,20.34827,52.07574,38.1129,1027.09,1526.103,38.1129
66,2018-06-15 13:39:37.844258,20.35309,52.07574,38.10854,1027.085,1526.112,38.10854
67,2018-06-15 13:39:38.868211,20.34827,52.07574,38.1129,1027.09,1526.103,38.1129
68,2018-06-15 13:39:39.893160,20.35953,52.07701,38.10379,1027.08,1526.124,38.10379
69,2018-06-15 13:39:40.918193,20.35792,52.07701,38.10523,1027.082,1526.121,38.10523
70,2018-06-15 13:39:41.942164,20.36274,52.07829,38.10192,1027.078,1526.13,38.10192
71,2018-06-15 13:39:42.968103,20.35792,52.07701,38.10523,1027.082,1526.121,38.10523
72,2018-06-15 13:39:43.993089,20.35631,52.07829,38.10773,1027.084,1526.119,38.10773
73,2018-06-15 13:39:45.017992,20.35953,52.07829,38.10483,1027.081,1526.125,38.10483
74,2018-06-15 13:39:46.043015,20.36757,52.07828,38.09755,1027.073,1526.139,38.09755
75,2018-06-15 13:39:47.071005,20.37561,52.07828,38.09027,1027.065,1526.152,38.09027
76,2018-06-15 13:39:48.097961,20.36274,52.07956,38.10297,1027.078,1526.131,38.10297
77,2018-06-15 13:39:49.124044,20.35953,52.07956,38.10588,1027.082,1526.126,38.10588
78,2018-06-15 13:39:50.148933,20.36114,52.07956,38.10442,1027.08,1526.129,38.10442
79,2018-06-15 13:39:51.175862,20.36435,52.07955,38.1015,1027.077,1526.134,38.1015
80,2018-06-15 13:39:52.201893,20.37078,52.08083,38.09674,1027.072,1526.146,38.09674
81,2018-06-15 13:39:53.211774,20.36917,52.08083,38.0982,1027.073,1526.144,38.0982
82,2018-06-15 13:39:54.237809,20.374,52.0821,38.09489,1027.069,1526.153,38.09489
83,2018-06-15 13:39:55.252768,20.374,52.08082,38.09383,1027.068,1526.152,38.09383
84,2018-06-15 13:39:56.279685,20.374,52.0821,38.09489,1027.069,1526.153,38.09489
85,2018-06-15 13:39:57.304729,20.36917,52.0821,38.09925,1027.074,1526.145,38.09925
86,2018-06-15 13:39:58.330799,20.37239,52.0821,38.09634,1027.071,1526.15,38.09634
87,2018-06-15 13:39:59.355776,20.37239,52.0821,38.09634,1027.071,1526.15,38.09634
88,2018-06-15 13:40:00.382679,20.37239,52.08337,38.09739,1027.072,1526.151,38.09739
89,2018-06-15 13:40:01.406592,20.38365,52.08336,38.0872,1027.061,1526.171,38.0872
90,2018-06-15 13:40:02.419663,20.37882,52.08336,38.09157,1027.066,1526.162,38.09157
91,2018-06-15 13:40:03.447573,20.38526,52.08336,38.08575,1027.059,1526.173,38.08575
92,2018-06-15 13:40:04.473566,20.38365,52.08336,38.0872,1027.061,1526.171,38.0872
93,2018-06-15 13:40:05.499586,20.38848,52.08336,38.08286,1027.056,1526.179,38.08286
94,2018-06-15 13:40:06.525581,20.38526,52.08464,38.0868,1027.06,1526.175,38.0868
95,2018-06-15 13:40:07.551480,20.38526,52.08464,38.0868,1027.06,1526.175,38.0868
96,2018-06-15 13:40:08.579556,20.38848,52.08464,38.0839,1027.057,1526.18,38.0839
97,2018-06-15 13:40:09.605433,20.38848,52.08464,38.0839,1027.057,1526.18,38.0839
98,2018-06-15 13:40:10.630388,20.38043,52.08464,38.09117,1027.065,1526.166,38.09117
99,2018-06-15 13:40:11.655288,20.38204,52.08591,38.09077,1027.064,1526.17,38.09077
100,2018-06-15 13:40:12.680331,20.3933,52.0859,38.08059,1027.053,1526.189,38.08059
101,2018-06-15 13:40:13.704230,20.39008,52.08591,38.08351,1027.056,1526.184,38.08351
102,2018-06-15 13:40:14.730259,20.38686,52.08718,38.08746,1027.06,1526.18,38.08746
103,2018-06-15 13:40:15.755258,20.39491,52.08717,38.08018,1027.052,1526.193,38.08018
104,2018-06-15 13:40:16.779309,20.38848,52.08718,38.086,1027.059,1526.182,38.086
105,2018-06-15 13:40:17.805211,20.38848,52.08718,38.086,1027.059,1526.182,38.086
106,2018-06-15 13:40:18.829167,20.39169,52.08845,38.08414,1027.056,1526.189,38.08414
107,2018-06-15 13:40:19.855284,20.39491,52.08845,38.08123,1027.053,1526.195,38.08123
108,2018-06-15 13:40:20.879121,20.39651,52.08972,38.08083,1027.052,1526.198,38.08083
109,2018-06-15 13:40:21.904237,20.40134,52.08844,38.07542,1027.047,1526.206,38.07542
110,2018-06-15 13:40:22.930346,20.39008,52.08972,38.08664,1027.059,1526.188,38.08664
111,2018-06-15 13:40:23.968950,20.39491,52.08972,38.08228,1027.054,1526.196,38.08228
112,2018-06-15 13:40:24.985083,20.39169,52.08972,38.08519,1027.057,1526.19,38.08519
113,2018-06-15 13:40:26.009999,20.39812,52.08972,38.07938,1027.051,1526.201,38.07938
114,2018-06-15 13:40:27.036025,20.39651,52.08972,38.08083,1027.052,1526.198,38.08083
115,2018-06-15 13:40:28.047922,20.39651,52.09099,38.08189,1027.053,1526.2,38.08189
116,2018-06-15 13:40:29.059011,20.39812,52.09099,38.08043,1027.052,1526.202,38.08043
117,2018-06-15 13:40:30.083924,20.40134,52.09226,38.07858,1027.049,1526.209,38.07858
118,2018-06-15 13:40:31.109872,20.40134,52.09226,38.07858,1027.049,1526.209,38.07858
119,2018-06-15 13:40:32.136913,20.40778,52.09098,38.07171,1027.042,1526.219,38.07171
120,2018-06-15 13:40:33.160839,20.40778,52.09353,38.07381,1027.044,1526.221,38.07381
121,2018-06-15 13:40:34.185745,20.40617,52.09353,38.07526,1027.046,1526.219,38.07526
122,2018-06-15 13:40:35.204749,20.40456,52.09353,38.07671,1027.047,1526.216,38.07671
123,2018-06-15 13:40:36.231894,20.40295,52.09353,38.07816,1027.049,1526.213,38.07816
124,2018-06-15 13:40:37.246692,20.40778,52.09353,38.07381,1027.044,1526.221,38.07381
125,2018-06-15 13:40:38.274621,20.40778,52.0948,38.07486,1027.045,1526.222,38.07486
126,2018-06-15 13:40:39.285687,20.41261,52.0948,38.07051,1027.04,1526.23,38.07051
127,2018-06-15 13:40:40.307699,20.40939,52.0948,38.07341,1027.043,1526.225,38.07341
128,2018-06-15 13:40:41.332555,20.40295,52.09608,38.08026,1027.05,1526.215,38.08026
129,2018-06-15 13:40:42.347487,20.40295,52.09481,38.07922,1027.049,1526.214,38.07922
130,2018-06-15 13:40:43.374556,20.40778,52.09608,38.07591,1027.046,1526.224,38.07591
131,2018-06-15 13:40:44.400520,20.40939,52.09608,38.07445,1027.044,1526.226,38.07445
132,2018-06-15 13:40:45.427500,20.41582,52.09607,38.06865,1027.038,1526.237,38.06865
133,2018-06-15 13:40:46.442399,20.41742,52.09607,38.0672,1027.036,1526.24,38.0672
134,2018-06-15 13:40:47.469306,20.41261,52.09734,38.0726,1027.042,1526.233,38.0726
135,2018-06-15 13:40:48.478314,20.411,52.09734,38.07404,1027.043,1526.23,38.07404
136,2018-06-15 13:40:49.508434,20.41582,52.09734,38.06969,1027.039,1526.238,38.06969
137,2018-06-15 13:40:50.525429,20.41261,52.09862,38.07364,1027.043,1526.234,38.07364
138,2018-06-15 13:40:51.552421,20.41582,52.09734,38.06969,1027.039,1526.238,38.06969
139,2018-06-15 13:40:52.570415,20.41261,52.09862,38.07364,1027.043,1526.234,38.07364
140,2018-06-15 13:40:53.595225,20.41582,52.09862,38.07074,1027.039,1526.24,38.07074
141,2018-06-15 13:40:54.609161,20.41742,52.09989,38.07035,1027.039,1526.243,38.07035
142,2018-06-15 13:40:55.632292,20.40617,52.09862,38.07946,1027.049,1526.223,38.07946
143,2018-06-15 13:40:56.658159,20.41261,52.09989,38.07469,1027.043,1526.235,38.07469
144,2018-06-15 13:40:57.684214,20.41904,52.10116,38.06994,1027.038,1526.247,38.06994
145,2018-06-15 13:40:58.708156,20.41904,52.10116,38.06994,1027.038,1526.247,38.06994
146,2018-06-15 13:40:59.720152,20.41904,52.10116,38.06994,1027.038,1526.247,38.06994
